Ticket_ID,Priority,Created_Date,Resolution_Time_Hours,SLA_Met
INC-23385,Medium,11/17/2024,19,TRUE
INC-95107,High,7/5/2024,42,FALSE
INC-62859,Low,12/15/2024,51,FALSE
INC-32404,Critical,10/9/2024,27,FALSE
INC-90081,Medium,12/5/2024,30,FALSE
INC-70193,Medium,11/5/2024,18,TRUE
INC-96858,Critical,9/12/2024,31,FALSE
INC-86840,High,8/26/2024,12,TRUE
INC-72376,Medium,7/1/2025,46,FALSE
INC-94797,Medium,9/24/2024,30,FALSE
INC-53007,Medium,8/10/2024,39,FALSE
INC-65672,Low,8/31/2024,12,TRUE
INC-14574,Medium,4/3/2025,59,FALSE
INC-53576,Low,2/27/2025,18,TRUE
INC-66077,High,6/4/2025,29,FALSE
INC-96247,High,7/20/2024,46,FALSE
INC-35147,Critical,8/31/2024,58,FALSE
INC-43019,Low,12/21/2024,42,FALSE
INC-74152,Low,11/22/2024,28,FALSE
INC-56840,Low,9/4/2024,41,FALSE
INC-17104,Critical,5/10/2025,24,TRUE
INC-15134,Critical,12/23/2024,40,FALSE
INC-52203,Medium,12/17/2024,21,TRUE
INC-33553,Critical,9/16/2024,70,FALSE
INC-95245,Critical,4/15/2025,5,TRUE
INC-84998,Critical,2/5/2025,43,FALSE
INC-17099,Low,8/3/2024,52,FALSE
INC-72367,Low,9/29/2024,9,TRUE
INC-66909,Medium,3/27/2025,55,FALSE
INC-18404,Medium,9/29/2024,62,FALSE
INC-51954,High,6/9/2025,26,FALSE
INC-42064,High,1/24/2025,50,FALSE
INC-04866,Critical,5/1/2025,54,FALSE
INC-66826,Low,3/2/2025,49,FALSE
INC-27605,Low,10/15/2024,51,FALSE
INC-72963,High,11/7/2024,7,TRUE
INC-90978,Medium,8/17/2024,17,TRUE
INC-63758,Low,12/4/2024,59,FALSE
INC-33465,Low,4/5/2025,65,FALSE
INC-20153,Low,12/7/2024,33,FALSE
INC-63612,Low,4/10/2025,13,TRUE
INC-64662,Medium,4/22/2025,22,TRUE
INC-58546,Critical,12/30/2024,40,FALSE
INC-59143,Low,11/6/2024,28,FALSE
INC-61762,High,9/6/2024,39,FALSE
INC-91348,High,7/16/2024,40,FALSE
INC-87433,High,8/6/2024,58,FALSE
INC-51393,Critical,1/20/2025,4,TRUE
INC-68337,Low,10/25/2024,63,FALSE
INC-92278,Low,12/23/2024,9,TRUE
INC-57236,Low,9/8/2024,19,TRUE
INC-05585,Low,10/8/2024,38,FALSE
INC-99808,High,5/19/2025,69,FALSE
INC-39937,Medium,7/26/2024,55,FALSE
INC-97057,High,10/2/2024,62,FALSE
INC-45660,Medium,2/14/2025,67,FALSE
INC-80475,Critical,9/30/2024,66,FALSE
INC-64074,High,10/18/2024,25,FALSE
INC-89432,High,5/31/2025,28,FALSE
INC-24930,Low,12/6/2024,25,FALSE
INC-64470,Medium,3/8/2025,25,FALSE
INC-96769,Medium,11/15/2024,40,FALSE
INC-38746,Critical,4/8/2025,31,FALSE
INC-53397,Low,2/7/2025,48,FALSE
INC-95297,Critical,4/27/2025,62,FALSE
INC-83345,High,1/5/2025,3,TRUE
INC-58727,Critical,11/11/2024,69,FALSE
INC-81918,Low,8/3/2024,55,FALSE
INC-59773,Medium,6/4/2025,7,TRUE
INC-87239,Medium,8/31/2024,24,TRUE
INC-94107,High,4/11/2025,58,FALSE
INC-56247,High,10/11/2024,71,FALSE
INC-31743,Low,9/3/2024,48,FALSE
INC-07073,Critical,3/10/2025,7,TRUE
INC-75664,High,7/11/2024,18,TRUE
INC-22724,Critical,8/6/2024,46,FALSE
INC-58990,High,1/21/2025,42,FALSE
INC-28867,Critical,4/12/2025,22,TRUE
INC-97967,High,6/7/2025,62,FALSE
INC-42742,Low,4/23/2025,13,TRUE
INC-08663,High,3/9/2025,3,TRUE
INC-78910,Medium,1/28/2025,38,FALSE
INC-95503,Medium,8/18/2024,20,TRUE
INC-76916,Critical,3/4/2025,41,FALSE
INC-42033,High,1/21/2025,15,TRUE
INC-50276,Critical,6/29/2025,71,FALSE
INC-78027,Low,6/8/2025,38,FALSE
INC-36627,High,10/11/2024,12,TRUE
INC-69509,Critical,2/24/2025,22,TRUE
INC-72066,Critical,5/11/2025,71,FALSE
INC-44132,Low,5/7/2025,51,FALSE
INC-98928,Medium,12/31/2024,71,FALSE
INC-99159,High,5/2/2025,53,FALSE
INC-68697,Medium,1/25/2025,27,FALSE
INC-45891,Medium,1/10/2025,70,FALSE
INC-36504,Medium,11/11/2024,33,FALSE
INC-30406,Low,1/7/2025,10,TRUE
INC-22051,Critical,4/18/2025,61,FALSE
INC-55248,Medium,7/9/2024,6,TRUE
INC-64149,High,5/26/2025,70,FALSE
INC-02772,Critical,4/22/2025,72,FALSE
INC-72926,Low,2/9/2025,63,FALSE
INC-65529,Critical,3/19/2025,39,FALSE
INC-21408,High,12/2/2024,27,FALSE
INC-35178,Critical,1/27/2025,33,FALSE
INC-30184,Low,9/17/2024,6,TRUE
INC-21520,Critical,1/10/2025,29,FALSE
INC-04326,Critical,6/19/2025,51,FALSE
INC-20138,Critical,3/6/2025,5,TRUE
INC-56144,Critical,1/20/2025,67,FALSE
INC-14785,Low,7/17/2024,61,FALSE
INC-72491,Medium,11/21/2024,8,TRUE
