validation_id,sample_id,faithfulness_score,groundedness_score,relevance_score,citation_accuracy_score,answer_completeness_score,contradiction_score,hallucination_risk_score,validator_decision,validator_feedback,revision_count
VAL-00001,SMP-00001,0.343,0.667,0.865,0.289,0.861,0.575,0.74,reject,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00002,SMP-00002,0.985,0.871,0.766,0.779,0.685,0.015,0.054,accept,Answer is supported by retrieved context.,0
VAL-00003,SMP-00003,0.694,0.304,0.75,0.256,0.647,0.401,0.824,revise,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00004,SMP-00004,0.598,0.435,0.87,0.476,0.849,0.192,0.926,revise,Validator detected outdated information; answer needs evidence-grounded revision.,1
VAL-00005,SMP-00005,0.544,0.277,0.82,0.616,0.794,0.185,0.677,reject,Validator detected unsupported claim; answer needs evidence-grounded revision.,2
VAL-00006,SMP-00006,0.643,0.25,0.953,0.605,0.969,0.038,0.566,revise,Validator detected outdated information; answer needs evidence-grounded revision.,2
VAL-00007,SMP-00007,0.762,0.941,0.828,0.952,0.744,0.227,0.25,accept,Answer is supported by retrieved context.,1
VAL-00008,SMP-00008,0.8,0.773,0.965,0.851,0.919,0.105,0.35,accept,Answer is supported by retrieved context.,1
VAL-00009,SMP-00009,0.791,0.853,0.822,0.888,0.887,0.067,0.273,revise,Answer is supported by retrieved context.,1
VAL-00010,SMP-00010,0.8,0.905,0.769,0.707,0.737,0.074,0.025,accept,Answer is supported by retrieved context.,0
VAL-00011,SMP-00011,0.446,0.314,0.728,0.319,0.774,0.256,0.741,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,2
VAL-00012,SMP-00012,0.357,0.581,0.742,0.611,0.857,0.036,0.7,revise,Validator detected overgeneralization; answer needs evidence-grounded revision.,3
VAL-00013,SMP-00013,0.847,0.916,0.721,0.84,0.93,0.026,0.303,accept,Answer is supported by retrieved context.,0
VAL-00014,SMP-00014,0.935,0.904,0.919,0.75,0.894,0.176,0.283,accept,Answer is supported by retrieved context.,0
VAL-00015,SMP-00015,0.402,0.659,0.715,0.344,0.847,0.574,0.87,revise,Validator detected contradiction; answer needs evidence-grounded revision.,2
VAL-00016,SMP-00016,0.301,0.616,0.827,0.536,0.768,0.26,0.884,revise,Validator detected factual error; answer needs evidence-grounded revision.,1
