evidence_id,sample_id,retrieved_doc_id,retrieved_text_chunk,chunk_rank,similarity_score,source_type,source_reliability,evidence_relevance,supports_answer,contradicts_answer
EVD-00001-1,SMP-00001,DOC-0071,"Legal Reference Note 071: What is intellectual property. Evidence summary: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. Validation note: answer claims should remain limited to what this chunk supports.",1,0.643,public-domain style explainer,high,relevant,no,yes
EVD-00001-2,SMP-00001,DOC-0059,"Legal Reference Note 059: What is a privacy policy. Evidence summary: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. Validation note: answer claims should remain limited to what this chunk supports.",2,0.536,domain reference summary,medium,relevant,yes,no
EVD-00001-3,SMP-00001,DOC-0058,"Legal Reference Note 058: What is the purpose of a contract. Evidence summary: A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have. Validation note: answer claims should remain limited to what this chunk supports.",3,0.368,curated knowledge card,medium,partially relevant,no,no
EVD-00002-1,SMP-00002,DOC-0069,"Environment Reference Note 069: How does deforestation affect ecosystems. Evidence summary: Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions. Validation note: answer claims should remain limited to what this chunk supports.",1,0.62,open educational note,high,relevant,yes,no
EVD-00002-2,SMP-00002,DOC-0090,"Environment Reference Note 090: What is renewable energy. Evidence summary: Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions. Validation note: answer claims should remain limited to what this chunk supports.",2,0.556,domain reference summary,medium,relevant,yes,no
EVD-00002-3,SMP-00002,DOC-0034,"Environment Reference Note 034: What is renewable energy. Evidence summary: Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions. Validation note: answer claims should remain limited to what this chunk supports.",3,0.589,synthetic policy brief,medium,irrelevant,no,yes
EVD-00003-1,SMP-00003,DOC-0112,Education Reference Note 112: What is formative assessment. Evidence summary: A learning objective states what a learner should know or be able to do after completing a lesson or activity. Validation note: answer claims should remain limited to what this chunk supports.,1,0.618,curated knowledge card,high,relevant,yes,yes
EVD-00003-2,SMP-00003,DOC-0076,Education Reference Note 076: What is blended learning. Evidence summary: A learning objective states what a learner should know or be able to do after completing a lesson or activity. Validation note: answer claims should remain limited to what this chunk supports.,2,0.72,open educational note,medium,relevant,no,no
EVD-00003-3,SMP-00003,DOC-0095,Education Reference Note 095: What is a learning objective. Evidence summary: A learning objective states what a learner should know or be able to do after completing a lesson or activity. Validation note: answer claims should remain limited to what this chunk supports.,3,0.394,open educational note,high,relevant,no,no
EVD-00004-1,SMP-00004,DOC-0090,"Environment Reference Note 090: What is renewable energy. Evidence summary: Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems. Validation note: answer claims should remain limited to what this chunk supports.",1,0.638,domain reference summary,medium,relevant,yes,no
EVD-00004-2,SMP-00004,DOC-0084,"Environment Reference Note 084: What is climate adaptation. Evidence summary: Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems. Validation note: answer claims should remain limited to what this chunk supports.",2,0.571,curated knowledge card,medium,partially relevant,yes,no
EVD-00004-3,SMP-00004,DOC-0084,"Environment Reference Note 084: What is climate adaptation. Evidence summary: Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems. Validation note: answer claims should remain limited to what this chunk supports.",3,0.62,domain reference summary,low,partially relevant,yes,no
EVD-00005-1,SMP-00005,DOC-0028,"Healthcare Reference Note 028: What is the recommended first-line lifestyle advice fo. Evidence summary: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. Validation note: answer claims should remain limited to what this chunk supports.",1,0.902,synthetic policy brief,medium,relevant,yes,no
EVD-00005-2,SMP-00005,DOC-0104,"Healthcare Reference Note 104: Why should antibiotics not be used for viral infection. Evidence summary: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. Validation note: answer claims should remain limited to what this chunk supports.",2,0.421,curated knowledge card,high,relevant,yes,no
EVD-00005-3,SMP-00005,DOC-0118,"Healthcare Reference Note 118: What are common warning signs of dehydration. Evidence summary: Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. Validation note: answer claims should remain limited to what this chunk supports.",3,0.526,public-domain style explainer,high,partially relevant,no,no
EVD-00006-1,SMP-00006,DOC-0081,"Environment Reference Note 081: What is climate adaptation. Evidence summary: Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions. Validation note: answer claims should remain limited to what this chunk supports.",1,0.638,public-domain style explainer,medium,relevant,yes,no
EVD-00006-2,SMP-00006,DOC-0081,"Environment Reference Note 081: What is climate adaptation. Evidence summary: Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions. Validation note: answer claims should remain limited to what this chunk supports.",2,0.437,synthetic policy brief,medium,partially relevant,no,no
EVD-00006-3,SMP-00006,DOC-0078,"Environment Reference Note 078: How does deforestation affect ecosystems. Evidence summary: Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions. Validation note: answer claims should remain limited to what this chunk supports.",3,0.407,synthetic policy brief,medium,irrelevant,yes,no
EVD-00007-1,SMP-00007,DOC-0046,"Technology Reference Note 046: What is an API. Evidence summary: A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data. Validation note: answer claims should remain limited to what this chunk supports.",1,0.96,domain reference summary,medium,relevant,yes,no
EVD-00007-2,SMP-00007,DOC-0057,"Technology Reference Note 057: What is retrieval-augmented generation. Evidence summary: A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data. Validation note: answer claims should remain limited to what this chunk supports.",2,0.896,curated knowledge card,low,relevant,yes,no
EVD-00007-3,SMP-00007,DOC-0057,"Technology Reference Note 057: What is retrieval-augmented generation. Evidence summary: A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data. Validation note: answer claims should remain limited to what this chunk supports.",3,0.689,synthetic policy brief,high,relevant,yes,no
EVD-00008-1,SMP-00008,DOC-0047,"Technology Reference Note 047: What is data preprocessing. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",1,0.535,synthetic policy brief,medium,relevant,yes,no
EVD-00008-2,SMP-00008,DOC-0036,"Technology Reference Note 036: What is a vector database used for. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",2,0.806,curated knowledge card,low,partially relevant,no,yes
EVD-00008-3,SMP-00008,DOC-0057,"Technology Reference Note 057: What is retrieval-augmented generation. Evidence summary: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. Validation note: answer claims should remain limited to what this chunk supports.",3,0.578,curated knowledge card,high,relevant,yes,no
