sample_id,domain,question,question_type,difficulty_level,expected_answer,llm_generated_answer,final_validated_answer,answer_length,has_hallucination,hallucination_type,severity_level,correction_required,created_at
SMP-00001,Legal,What is a privacy policy?,comparison,medium,"A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have.","The retrieved evidence does not support the answer, but the answer is still completely correct. A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have.","A privacy policy explains what personal data is collected, how it is used, stored, shared, and what rights users may have.",36,1,contradiction,low,yes,2026-04-20
SMP-00002,Environment,"In simple terms, How does deforestation affect ecosystems?",factual,medium,"Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions.","Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions.","Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions.",17,0,none,none,no,2026-03-17
SMP-00003,Education,What is a learning objective?,comparison,easy,A learning objective states what a learner should know or be able to do after completing a lesson or activity.,"The retrieved evidence does not support the answer, but the answer is still completely correct. A learning objective states what a learner should know or be able to do after completing a lesson or activity.",A learning objective states what a learner should know or be able to do after completing a lesson or activity.,35,1,contradiction,high,yes,2026-01-13
SMP-00004,Environment,What is air pollution?,definition,hard,"Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems.","Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems. Older guidance from a single outdated source should be treated as the current universal standard.","Air pollution is the presence of harmful substances in the air that can affect health, climate, visibility, and ecosystems.",34,1,outdated information,medium,yes,2026-04-08
SMP-00005,Healthcare,Give a reliable answer: What are common warning signs of dehydration?,definition,easy,"Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion.","Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion. It is proven to work in every case without exception.","Common signs include thirst, dry mouth, reduced urine output, dark urine, dizziness, fatigue, and in severe cases confusion.",28,1,unsupported claim,medium,yes,2026-01-16
SMP-00006,Environment,Give a reliable answer: How does deforestation affect ecosystems?,definition,easy,"Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions.","Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions. Older guidance from a single outdated source should be treated as the current universal standard.","Deforestation can reduce biodiversity, disrupt habitats, increase soil erosion, alter water cycles, and contribute to carbon emissions.",32,1,outdated information,high,yes,2026-04-22
SMP-00007,Technology,"In simple terms, What is a vector database used for?",comparison,medium,"A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.","A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.","A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.",19,0,none,none,no,2026-03-27
SMP-00008,Technology,"In simple terms, Why is model evaluation important?",definition,hard,"Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.","Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.","Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.",11,0,none,none,no,2026-02-23
SMP-00009,Healthcare,"For a QA system, answer this: What is the recommended first-line lifestyle advice for mild hypertension?",comparison,easy,"For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.","For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.","For mild hypertension, lifestyle advice commonly includes reducing sodium intake, regular physical activity, weight management, limiting alcohol, stopping smoking, and following a balanced diet such as DASH. Clinical decisions should be individualized.",32,0,none,none,no,2026-03-10
SMP-00010,Technology,"For a QA system, answer this: What is retrieval-augmented generation?",factual,hard,Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters.,Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters.,Retrieval-augmented generation combines information retrieval with text generation so a model can answer using external context instead of relying only on internal parameters.,23,0,none,none,no,2026-04-13
SMP-00011,Education,Explain briefly: What is formative assessment?,risk explanation,medium,"Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.","Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading. This rule applies equally to all users, countries, and conditions.","Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.",27,1,overgeneralization,high,yes,2026-02-25
SMP-00012,Technology,What is data preprocessing?,definition,medium,"Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling.","Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling. This rule applies equally to all users, countries, and conditions.","Data preprocessing prepares raw data through cleaning, formatting, normalization, encoding, and feature creation before analysis or modeling.",27,1,overgeneralization,low,yes,2026-01-24
SMP-00013,Legal,Explain briefly: What is intellectual property?,definition,medium,"Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection.","Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection.","Intellectual property refers to creations of the mind such as inventions, designs, trademarks, written works, and software that may receive legal protection.",22,0,none,none,no,2026-01-17
SMP-00014,Finance,Explain briefly: How does compound interest work?,factual,easy,"Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.","Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.","Compound interest adds interest to the principal and previously earned interest, so money can grow faster over time.",18,0,none,none,no,2026-01-20
