Date,Service_Type,Cost_USD,Environment,Region
2026-07-03,Storage,166.96,Dev,US-East-1
2026-07-03,AI_Services,140.56,QA,US-East-1
2026-07-03,Storage,468.77,QA,US-East-1
2026-07-03,Network,229.39,Prod,US-East-1
2026-07-03,Network,318.96,QA,US-East-1
2026-07-03,Compute,429.5,QA,US-East-1
2026-07-03,AI_Services,290.52,QA,US-East-1
2026-07-03,Network,247.26,Prod,US-East-1
2026-07-03,Compute,475.25,Prod,US-East-1
2026-07-03,Compute,426.91,Prod,US-East-1
2026-07-03,AI_Services,372.41,Dev,US-East-1
2026-07-03,Network,281.98,QA,US-East-1
2026-07-03,Compute,206.2,Dev,US-East-1
2026-07-03,Network,193.9,Prod,US-East-1
2026-07-03,Compute,374.5,Prod,US-East-1
2026-07-03,Network,346.29,QA,US-East-1
2026-07-03,Compute,151.92,Prod,US-East-1
2026-07-03,Storage,467.9,QA,US-East-1
2026-07-03,AI_Services,217.59,Dev,US-East-1
2026-07-03,Storage,243.2,Dev,US-East-1
2026-07-03,AI_Services,241.16,QA,US-East-1
2026-07-03,AI_Services,411.2,QA,US-East-1
2026-07-03,AI_Services,464.67,Dev,US-East-1
2026-07-03,Compute,120.81,Dev,US-East-1
2026-07-03,Compute,212.63,Prod,US-East-1
2026-07-03,Network,114.1,Dev,US-East-1
2026-07-03,Network,221.61,Dev,US-East-1
2026-07-03,Storage,370.16,Prod,US-East-1
2026-07-03,Storage,295.52,Dev,US-East-1
2026-07-03,Storage,342.81,QA,US-East-1
2026-07-03,AI_Services,381.54,Dev,US-East-1
2026-07-03,AI_Services,180.26,Prod,US-East-1
2026-07-03,Storage,277.37,Prod,US-East-1
2026-07-03,Storage,483.52,QA,US-East-1
2026-07-03,Network,293.78,QA,US-East-1
2026-07-03,AI_Services,374.0,Dev,US-East-1
2026-07-03,Storage,299.29,Dev,US-East-1
2026-07-03,Network,389.87,Prod,US-East-1
2026-07-03,Compute,245.43,Dev,US-East-1
2026-07-03,Compute,304.16,Prod,US-East-1
2026-07-03,Storage,426.49,QA,US-East-1
2026-07-03,AI_Services,498.63,QA,US-East-1
2026-07-03,AI_Services,115.89,QA,US-East-1
2026-07-03,Network,103.78,Prod,US-East-1
2026-07-03,Network,149.15,Prod,US-East-1
2026-07-03,Storage,201.44,Dev,US-East-1
2026-07-03,AI_Services,176.61,Prod,US-East-1
2026-07-03,Network,62.72,QA,US-East-1
2026-07-03,Storage,396.44,QA,US-East-1
2026-07-03,Compute,327.51,Prod,US-East-1
2026-07-03,AI_Services,234.2,Dev,US-East-1
2026-07-03,Compute,389.32,Prod,US-East-1
2026-07-03,Compute,287.25,Prod,US-East-1
2026-07-03,AI_Services,95.8,QA,US-East-1
2026-07-03,Storage,107.12,Dev,US-East-1
2026-07-03,Storage,243.45,Prod,US-East-1
2026-07-03,Storage,261.76,QA,US-East-1
2026-07-03,AI_Services,151.68,QA,US-East-1
2026-07-03,Storage,170.02,Dev,US-East-1
2026-07-03,Network,34.6,QA,US-East-1
2026-07-03,Storage,104.88,Prod,US-East-1
2026-07-03,AI_Services,96.4,QA,US-East-1
2026-07-03,Storage,347.37,Prod,US-East-1
2026-07-03,AI_Services,352.58,Dev,US-East-1
2026-07-03,Network,11.5,Prod,US-East-1
2026-07-03,Compute,329.51,Prod,US-East-1
2026-07-03,Network,490.49,Prod,US-East-1
2026-07-03,Compute,30.63,Dev,US-East-1
2026-07-03,AI_Services,80.94,QA,US-East-1
2026-07-03,Storage,318.87,QA,US-East-1
2026-07-03,Storage,73.64,Prod,US-East-1
2026-07-03,Network,49.03,Prod,US-East-1
2026-07-03,AI_Services,179.36,QA,US-East-1
2026-07-03,Storage,493.75,Prod,US-East-1
2026-07-03,Network,123.69,QA,US-East-1
2026-07-03,AI_Services,109.97,Prod,US-East-1
2026-07-03,Compute,57.11,Prod,US-East-1
2026-07-03,Compute,469.81,Prod,US-East-1
2026-07-03,Network,109.05,QA,US-East-1
2026-07-03,Compute,397.76,QA,US-East-1
2026-07-03,AI_Services,83.37,Prod,US-East-1
2026-07-03,Compute,215.1,QA,US-East-1
2026-07-03,Compute,49.12,QA,US-East-1
2026-07-03,AI_Services,352.63,QA,US-East-1
2026-07-03,Network,238.83,Dev,US-East-1
2026-07-03,Storage,17.46,QA,US-East-1
2026-07-03,AI_Services,76.67,Dev,US-East-1
2026-07-03,Storage,416.15,Dev,US-East-1
2026-07-03,Compute,225.69,QA,US-East-1
2026-07-03,Compute,11.68,Prod,US-East-1
2026-07-03,AI_Services,28.69,Dev,US-East-1
2026-07-03,Storage,140.32,Dev,US-East-1
2026-07-03,Storage,80.03,Dev,US-East-1
2026-07-03,AI_Services,165.69,Prod,US-East-1
2026-07-03,Storage,228.91,QA,US-East-1
2026-07-03,Network,188.9,Prod,US-East-1
2026-07-03,Network,274.17,QA,US-East-1
2026-07-03,Storage,468.83,Prod,US-East-1
2026-07-03,Network,94.45,Prod,US-East-1
2026-07-03,Compute,261.66,QA,US-East-1
2026-07-03,Network,125.82,QA,US-East-1
2026-07-03,Network,442.51,Dev,US-East-1
2026-07-03,Storage,162.95,QA,US-East-1
2026-07-03,Storage,283.22,QA,US-East-1
2026-07-03,AI_Services,359.8,Dev,US-East-1
2026-07-03,AI_Services,443.0,Dev,US-East-1
2026-07-03,Compute,399.95,Prod,US-East-1
2026-07-03,AI_Services,292.94,Prod,US-East-1
2026-07-03,AI_Services,288.25,Prod,US-East-1
2026-07-03,Network,219.38,QA,US-East-1
2026-07-03,AI_Services,210.52,Dev,US-East-1
2026-07-03,Storage,27.16,Dev,US-East-1
2026-07-03,AI_Services,57.65,QA,US-East-1
2026-07-03,Network,360.68,QA,US-East-1
2026-07-03,Network,67.55,Dev,US-East-1
2026-07-03,AI_Services,76.14,Prod,US-East-1
2026-07-03,Compute,110.27,Dev,US-East-1
2026-07-03,Compute,493.25,Dev,US-East-1
2026-07-03,Storage,123.07,QA,US-East-1
2026-07-03,AI_Services,203.23,Dev,US-East-1
2026-07-03,AI_Services,228.25,Prod,US-East-1
2026-07-03,Network,405.63,Dev,US-East-1
2026-07-03,Compute,432.66,Prod,US-East-1
2026-07-03,AI_Services,45.07,Prod,US-East-1
2026-07-03,Compute,46.56,QA,US-East-1
2026-07-03,Compute,276.42,QA,US-East-1
2026-07-03,Compute,272.24,QA,US-East-1
2026-07-03,Network,345.28,Dev,US-East-1
2026-07-03,Storage,111.62,QA,US-East-1
2026-07-03,Storage,153.9,Prod,US-East-1
2026-07-03,AI_Services,185.36,Prod,US-East-1
2026-07-03,Storage,73.77,Dev,US-East-1
2026-07-03,AI_Services,275.84,QA,US-East-1
2026-07-03,Compute,361.28,QA,US-East-1
2026-07-03,Network,25.92,QA,US-East-1
2026-07-03,Storage,378.84,Dev,US-East-1
2026-07-03,Network,145.72,Dev,US-East-1
2026-07-03,Compute,162.2,QA,US-East-1
2026-07-03,Compute,426.17,Prod,US-East-1
2026-07-03,AI_Services,294.74,Prod,US-East-1
2026-07-03,Network,65.58,Dev,US-East-1
2026-07-03,AI_Services,101.81,Dev,US-East-1
2026-07-03,AI_Services,380.64,Dev,US-East-1
2026-07-03,Compute,14.07,Prod,US-East-1
2026-07-03,AI_Services,138.0,Prod,US-East-1
2026-07-03,Storage,36.08,Dev,US-East-1
2026-07-03,Network,289.96,Dev,US-East-1
2026-07-03,AI_Services,59.09,QA,US-East-1
2026-07-03,Compute,448.43,Prod,US-East-1
2026-07-03,Storage,458.13,Dev,US-East-1
2026-07-03,Storage,241.82,Dev,US-East-1
2026-07-03,Compute,355.75,QA,US-East-1
2026-07-03,Compute,339.77,Prod,US-East-1
2026-07-03,Compute,34.36,QA,US-East-1
2026-07-03,AI_Services,134.12,QA,US-East-1
2026-07-03,Compute,336.01,Dev,US-East-1
2026-07-03,AI_Services,424.89,Dev,US-East-1
2026-07-03,Compute,467.01,Dev,US-East-1
2026-07-03,Storage,485.64,QA,US-East-1
2026-07-03,Storage,459.14,QA,US-East-1
