doc_id,doc_title,doc_domain,doc_text,source_name,publication_year,license_type,quality_score,word_count,chunk_count
DOC-0001,Environment Reference Note 001: What is renewable energy,Environment,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Renewable energy comes from naturally replenished sources such as solar, wind, hydro, geothermal, and biomass.",Original Synthetic Knowledge Base v1.0,2026,Synthetic / CC0-style educational use,0.763,71,3
DOC-0002,Finance Reference Note 002: What is diversification in investment,Finance,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Diversification means spreading investments across different assets, sectors, or regions to reduce exposure to a single source of risk.",Original Synthetic Knowledge Base v1.0,2025,Synthetic / CC0-style educational use,0.807,79,2
DOC-0003,Healthcare Reference Note 003: How does diabetes affect wound healing,Healthcare,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.",Original Synthetic Knowledge Base v1.1,2025,Synthetic / CC0-style educational use,0.861,77,6
DOC-0004,Finance Reference Note 004: Why is an emergency fund useful,Finance,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: An emergency fund provides readily available savings for unexpected expenses and can reduce reliance on debt during financial stress. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: An emergency fund provides readily available savings for unexpected expenses and can reduce reliance on debt during financial stress.",Original Synthetic Knowledge Base v1.3,2022,Synthetic / CC0-style educational use,0.815,79,4
DOC-0005,Healthcare Reference Note 005: How does diabetes affect wound healing,Healthcare,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.",Original Synthetic Knowledge Base v1.3,2023,Synthetic / CC0-style educational use,0.763,77,3
DOC-0006,Legal Reference Note 006: What is the purpose of a contract,Legal,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: A contract records an agreement between parties, outlining duties, rights, payment terms, timelines, and remedies if obligations are not met.",Original Synthetic Knowledge Base v1.0,2024,Synthetic / CC0-style educational use,0.709,81,4
DOC-0007,Technology Reference Note 007: Why is model evaluation important,Technology,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Model evaluation measures performance, reliability, bias, errors, and suitability before deployment.",Original Synthetic Knowledge Base v1.0,2026,Synthetic / CC0-style educational use,0.818,63,2
DOC-0008,Education Reference Note 008: What is formative assessment,Education,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Formative assessment is ongoing evaluation during learning, used to provide feedback and improve understanding before final grading.",Original Synthetic Knowledge Base v1.2,2026,Synthetic / CC0-style educational use,0.866,75,4
DOC-0009,Technology Reference Note 009: What is a vector database used for,Technology,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: A vector database stores embeddings and supports similarity search, helping systems retrieve semantically related text, images, or other data.",Original Synthetic Knowledge Base v1.0,2021,Synthetic / CC0-style educational use,0.878,79,4
DOC-0010,Healthcare Reference Note 010: How does diabetes affect wound healing,Healthcare,"This note provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection. The reference material provides neutral background information for question answering. It emphasizes evidence-grounded responses, scope limits, and careful validation. Key concept: Diabetes may delay wound healing through impaired blood flow, reduced immune response, neuropathy, and higher risk of infection.",Original Synthetic Knowledge Base v1.0,2024,Synthetic / CC0-style educational use,0.763,77,7
