Employee_ID,Department,Performance_Score,Salary,Years_of_Service,Attrition_Risk
218555,IT,1,66623,15,True
339339,Clinical Ops,3,114998,9,True
762591,Cloud Engineering,4,111690,14,False
814711,IT,5,129065,3,True
508270,Finance,1,80178,4,True
747236,Finance,1,136052,13,True
214350,Clinical Ops,2,132159,7,False
990540,IT,4,118500,13,False
819470,Cloud Engineering,5,145826,9,False
235449,HR,3,69732,8,True
378256,IT,4,135156,8,True
336137,Cloud Engineering,1,117066,10,True
654041,Finance,4,137548,11,True
83178,Finance,4,135280,1,True
916539,Finance,5,83963,9,True
940261,IT,3,74643,5,False
673856,IT,5,63241,7,False
12525,HR,4,69953,4,True
315319,IT,1,121815,11,True
148948,IT,5,141438,4,True
33930,Finance,1,107404,11,True
204611,Clinical Ops,4,144042,13,True
374864,Cloud Engineering,2,128796,10,False
862500,Clinical Ops,4,117619,3,False
692949,IT,5,103528,8,False
22519,Cloud Engineering,1,74320,9,True
778175,Cloud Engineering,1,78526,4,True
567017,Finance,2,108392,11,False
683568,Clinical Ops,1,92308,4,True
180979,Finance,5,106022,15,True
798595,Cloud Engineering,4,113463,10,True
368481,Clinical Ops,2,88872,4,False
810460,Finance,1,67246,10,False
945323,Cloud Engineering,1,93673,2,True
166505,Cloud Engineering,1,106256,13,False
797846,Clinical Ops,1,130975,9,True
174213,HR,4,133197,10,False
995316,Cloud Engineering,1,136976,7,True
491648,Finance,3,92338,11,True
89088,IT,5,124223,6,False
342813,IT,1,79437,5,False
578074,HR,2,91702,9,True
698057,HR,4,143632,10,True
274029,Clinical Ops,3,106730,9,True
689777,IT,4,69455,12,True
587642,Cloud Engineering,1,107686,4,False
580800,HR,2,131953,15,False
29588,IT,5,144308,12,True
725143,IT,4,74643,8,True
374914,Finance,3,100524,10,False
236419,Cloud Engineering,5,110926,4,False
475994,IT,2,73240,3,True
172869,HR,1,113636,4,False
307783,Finance,4,117588,14,False
400793,Clinical Ops,1,73479,5,False
485826,HR,1,122583,7,False
710345,Cloud Engineering,1,61399,8,True
994902,Clinical Ops,4,138584,13,True
823057,Clinical Ops,1,75195,1,False
99379,Finance,2,112634,9,False
353999,HR,3,116581,12,False
350652,Cloud Engineering,5,95187,7,True
469810,Finance,1,143139,14,False
397091,HR,2,61775,5,True
741391,Clinical Ops,3,144094,4,True
761878,HR,1,125533,8,True
340411,Cloud Engineering,2,84918,7,False
146664,Cloud Engineering,5,148208,12,True
624296,Clinical Ops,4,138623,15,False
449408,HR,2,67857,2,True
101944,IT,1,113983,15,False
364260,IT,5,100302,11,True
955640,IT,3,107823,3,True
495109,HR,2,60165,2,False
716164,Clinical Ops,3,93252,4,False
195902,HR,5,130133,13,False
14727,IT,4,118745,10,False
36397,Finance,5,62940,4,True
920375,HR,2,75848,6,True
394936,HR,1,115098,6,False
784899,HR,3,134779,12,False
830674,Cloud Engineering,1,98860,3,True
117802,HR,5,129397,12,False
170594,IT,1,88864,9,False
932110,IT,2,138444,14,True
369093,Clinical Ops,4,118457,8,False
507947,HR,1,125494,14,False
107442,Cloud Engineering,1,130204,13,False
348006,Clinical Ops,4,130247,9,True
433607,Cloud Engineering,3,89926,3,False
366575,Finance,1,112800,3,True
713259,IT,2,89603,11,True
640494,HR,2,142763,4,True
404592,Cloud Engineering,1,111454,15,False
272475,Clinical Ops,4,148781,14,False
16178,Clinical Ops,5,137623,11,True
532564,HR,2,61085,1,False
72528,Cloud Engineering,3,91398,12,True
298682,Finance,2,99403,13,True
240884,Cloud Engineering,2,125671,6,True
553513,Finance,4,72117,14,True
923916,Finance,5,88929,13,False
612521,Cloud Engineering,2,112585,12,False
142924,IT,1,141292,2,True
307653,Cloud Engineering,1,105454,14,False
993413,Cloud Engineering,5,131269,15,False
682931,Clinical Ops,1,61101,8,False
458190,Finance,2,113397,15,True
71912,Cloud Engineering,4,139899,5,True
223184,Cloud Engineering,4,82901,4,False
580831,IT,2,95119,9,True
462305,Clinical Ops,4,124808,3,True
719056,HR,2,90241,4,True
113647,HR,3,76042,9,False
285136,HR,5,103614,13,False
164034,Finance,1,116177,15,False
932421,Finance,1,103654,3,False
337720,HR,1,119143,3,False
367200,Cloud Engineering,3,132252,2,False
737707,Clinical Ops,5,61434,2,False
634789,Clinical Ops,4,87602,8,True
957877,Cloud Engineering,5,106205,6,True
433812,Clinical Ops,2,107857,14,False
626638,Clinical Ops,5,94370,6,False
682066,Clinical Ops,4,143438,13,True
354988,IT,3,89821,10,True
697751,Finance,3,105357,1,False
532095,HR,2,61111,9,False
609393,Cloud Engineering,2,73776,12,True
582016,Clinical Ops,4,102352,3,False
349933,Cloud Engineering,3,93610,13,True
782978,Clinical Ops,4,62491,6,False
347290,Finance,5,136355,3,False
954340,Finance,5,139366,13,False
623240,HR,2,94074,10,False
180985,Clinical Ops,3,69310,10,False
979931,Cloud Engineering,4,80953,10,False
734433,Cloud Engineering,3,101572,13,True
433762,Finance,4,112867,11,False
596140,Finance,1,148265,13,True
250090,IT,3,84381,5,True
858965,Cloud Engineering,4,88952,6,True
317812,HR,5,108019,15,True
315696,Finance,3,74621,3,False
603613,IT,1,71779,11,False
3851,IT,5,107996,7,False
29917,IT,5,115494,8,False
73219,IT,5,95500,14,True
764821,Finance,4,64867,1,False
133970,Finance,5,116158,13,False
482711,Finance,3,144580,2,True
444975,IT,4,101710,12,True
728927,Cloud Engineering,2,80436,4,False
376588,Clinical Ops,4,144191,2,True
867413,Clinical Ops,1,112424,3,False
477882,Clinical Ops,2,106497,6,False
98382,HR,1,118427,2,False
148681,Finance,4,125826,12,True
191622,Cloud Engineering,2,75004,10,True
339401,Finance,3,95212,9,True
269950,IT,2,60791,8,True
460824,Cloud Engineering,3,116464,14,False
89599,Clinical Ops,4,90285,12,True
659787,Clinical Ops,5,80924,10,True
361435,Finance,4,139586,6,True
89586,Clinical Ops,2,95448,2,False
241966,HR,3,78483,14,True
849626,Finance,2,113494,6,False
92566,IT,2,78436,14,False
543620,IT,3,114189,4,True
392115,IT,1,139053,15,True
49742,HR,1,78450,1,False
1064,Clinical Ops,2,133568,14,True
471629,HR,3,127627,8,False
926365,HR,3,86356,14,True
594936,IT,2,77708,11,True
848842,Finance,2,120732,8,True
585355,Clinical Ops,1,98178,4,False
913560,Finance,1,113955,3,True
325568,IT,2,78726,15,True
980100,Clinical Ops,2,101635,14,False
723133,IT,4,132637,7,True
879596,Finance,1,105593,2,True
6129,Clinical Ops,3,107581,6,False
266963,Clinical Ops,3,92974,11,True
118836,IT,5,71766,7,False
782820,Clinical Ops,4,83773,13,False
298053,IT,3,101786,13,False
27214,Cloud Engineering,5,140471,5,False
543806,IT,5,86516,14,True
532280,Clinical Ops,1,123182,15,True
586719,Finance,2,109191,8,True
462260,Clinical Ops,1,131030,11,False
116359,HR,2,97470,8,True
658182,IT,1,111684,3,True
863003,Cloud Engineering,1,62937,6,False
678159,Clinical Ops,1,144559,9,True
758351,Clinical Ops,1,106459,14,True
577629,HR,4,76548,3,True
326131,HR,3,62167,9,False
606915,Finance,1,93195,15,False
766715,Clinical Ops,1,128629,3,False
184229,Clinical Ops,2,111581,5,True
913452,Finance,3,98876,1,False
562509,HR,4,105941,7,False
680880,Cloud Engineering,4,102107,7,True
888238,Finance,5,89602,10,False
432591,HR,3,83660,3,False
150946,Clinical Ops,5,72612,4,True
953971,Finance,2,64097,1,True
23389,IT,5,117971,14,True
838479,IT,3,64175,13,True
529510,HR,2,113429,14,False
115717,IT,3,115977,6,False
54677,Clinical Ops,2,82124,5,False
551677,HR,2,144315,9,True
610283,HR,3,100336,3,False
7432,Clinical Ops,3,84654,6,True
